swim,bike,run
20.6174,47.9782,31.4044
19.9265,46.6028,33.4707
18.5942,50.8475,30.5583
21.5004,48.2839,30.2157
22.0492,45.3864,32.5644
22.7785,47.6289,29.5925
22.4768,45.5907,31.9325
21.2000,45.5477,33.2524
18.1335,50.1128,31.7536
22.0429,47.7273,30.2299
20.0202,50.7564,29.2234
18.4919,49.3203,32.1877
23.4898,47.2167,29.2936
18.6229,52.3034,29.0738
18.0232,51.5836,30.3932
19.6426,48.4812,31.8761
17.1113,51.8675,31.0212
20.0974,47.5715,32.3311
19.9528,47.4218,32.6254
20.7291,48.9367,30.3342
19.4341,52.2334,28.3326
18.8560,50.4036,30.7404
21.5080,48.7567,29.7353
19.4042,49.3816,31.2143
14.3190,51.7008,33.9801
18.5790,47.3179,34.1030
16.3305,49.0259,34.6436
19.4048,50.7128,29.8823
15.0577,53.3852,31.5572
23.4592,46.7348,29.8060
17.1411,45.1680,37.6909
17.7368,47.5952,34.6680
20.3505,47.6233,32.0262
19.9826,46.9162,33.1012
21.0801,48.9385,29.9814
20.5915,47.7880,31.6205
19.6160,48.0187,32.3652
23.0421,48.1702,28.7877
21.9414,46.8837,31.1750
22.9557,48.1229,28.9214
22.4125,45.8065,31.7810
16.6259,51.5646,31.8095
18.2570,51.1484,30.5946
20.8283,49.1134,30.0583
19.7611,49.6894,30.5496
23.5156,48.7643,27.7201
18.3713,52.0773,29.5514
15.5240,52.1227,32.3533
18.8559,49.9218,31.2223
20.8798,48.9467,30.1735
18.7958,50.5984,30.6058
20.1293,47.1270,32.7437
20.0841,49.0024,30.9135
20.9615,46.9712,32.0673
20.0472,48.6962,31.2566
22.7374,46.9107,30.3519
21.0216,47.4980,31.4804
20.1062,48.1811,31.7127
19.5435,51.1985,29.2579
20.0212,50.9825,28.9963
17.6576,51.1316,31.2108
19.1450,49.6778,31.1772
16.9007,51.7122,31.3870
18.2615,50.6134,31.1251
18.3525,49.2209,32.4266
19.3029,49.0745,31.6226
18.3961,49.1252,32.4787
21.1276,46.1128,32.7596
19.2626,47.6574,33.0800
17.3743,49.9621,32.6636
23.0337,48.0459,28.9204
17.9230,48.5156,33.5614
19.4350,46.9932,33.5718
21.3974,46.8743,31.7283
21.3345,46.4499,32.2156
21.4041,47.5905,31.0054
